context,question,answer,start_position,end_position
"Жоңғар хандығы XVII ғасырдың 40-жылдарынан бастап қазақ жерiне сан рет жойқын жорықтар ұйымдастырды. Жоңғарияның мақсаты қазақ елiнiң тәуелсiздiгiн жойып, 8 ұлан-байтақ жердi өзiне қарату болды. Шамамен 1710—1717 жылдар аралығында жоңғардың қалың қолы қазақ жерiне басып кiрiп, халықты қан қақсатты",Жоңғар хандығы XVII ғасырдың қай жылдарынан бастап қазақ жеріне өз жорықтарын бастады?,40-жылдарынан бастап,29,49
"Жоңғар хандығы XVII ғасырдың 40-жылдарынан бастап қазақ жерiне сан рет жойқын жорықтар ұйымдастырды. Жоңғарияның мақсаты қазақ елiнiң тәуелсiздiгiн жойып, 8 ұлан-байтақ жердi өзiне қарату болды. Шамамен 1710—1717 жылдар аралығында жоңғардың қалың қолы қазақ жерiне басып кiрiп, халықты қан қақсатты",Жоңғарлардың басты мақсаты не болды?,"қазақ елiнiң тәуелсiздiгiн жойып, 8 ұлан-байтақ жердi өзiне қарату болды",121,193
"Жоңғар хандығы XVII ғасырдың 40-жылдарынан бастап қазақ жерiне сан рет жойқын жорықтар ұйымдастырды. Жоңғарияның мақсаты қазақ елiнiң тәуелсiздiгiн жойып, 8 ұлан-байтақ жердi өзiне қарату болды. Шамамен 1710—1717 жылдар аралығында жоңғардың қалың қолы қазақ жерiне басып кiрiп, халықты қан қақсатты",Жоңғарлардың қалың қолы қай жылдары Қазақ даласындаңы халықты қан қақсатты?,Шамамен 1710—1717 жылдар аралығында,195,230
"Жоңғар әскерi өзiнiң басымдығын пайдаланып, XVII ғасырдың соңы — XVIII ғасырдың басында Жетiсудың бiр бөлiгiн жаулап, Сарысу өзенi алқабына дейiн жеттi. Соққының ауыр болғандығы соншалық, ендi үш жүздiң ортақ жауға бiрлесiп күресуi — тарихи қажеттiлiк едi.",Жоңғарлар XVII ғасырдың соңы — XVIII ғасырдың басында қай жерлерді басып алды?,"Жетiсудың бiр бөлiгiн жаулап, Сарысу өзенi алқабына дейiн жеттi",88,151
"Жоңғар әскерi өзiнiң басымдығын пайдаланып, XVII ғасырдың соңы — XVIII ғасырдың басында Жетiсудың бiр бөлiгiн жаулап, Сарысу өзенi алқабына дейiн жеттi. Соққының ауыр болғандығы соншалық, ендi үш жүздiң ортақ жауға бiрлесiп күресуi — тарихи қажеттiлiк едi.",Осындай уақытта қазақ даласында қандай қажеттілік орын алды?,үш жүздiң ортақ жауға бiрлесiп күресуi,193,231
"Осы мақсатпен 1710 жылы қазақ жүздерiнiң белгiлi өкiлдерi Қарақұм маңында бас қосып, жоңғарларға соққы берудiң мүмкiндiктерiн талқылады. Осы кеңестiң шешiмiне сай жоңғарларға қарсы бiрiккен халық жасағы құрылып, соның күшiмен жоңғар әскерi шығысқа қарай ығыстырылды. 1711 жылы жоңғарлар қазақ даласына тағы шабуыл жасағанда, қазақ батырлары тiзе қосып, жауға айтарлықтай тойтарыс бердi. Жоңғар қонтайшысы Себан Рабданның (Цэван-Рабдан) қазақ жерiне 1713 жылғы жорығы да сәтсiздiкпен аяқталды.",Қазақ жүздері қай жерде бас қосты?,Қарақұм маңында,58,73
"Осы мақсатпен 1710 жылы қазақ жүздерiнiң белгiлi өкiлдерi Қарақұм маңында бас қосып, жоңғарларға соққы берудiң мүмкiндiктерiн талқылады. Осы кеңестiң шешiмiне сай жоңғарларға қарсы бiрiккен халық жасағы құрылып, соның күшiмен жоңғар әскерi шығысқа қарай ығыстырылды. 1711 жылы жоңғарлар қазақ даласына тағы шабуыл жасағанда, қазақ батырлары тiзе қосып, жауға айтарлықтай тойтарыс бердi. Жоңғар қонтайшысы Себан Рабданның (Цэван-Рабдан) қазақ жерiне 1713 жылғы жорығы да сәтсiздiкпен аяқталды.",Қазақ жүздері кімдерге соққы беруді жоспарлады?,жоңғарларға,85,96
"Осы мақсатпен 1710 жылы қазақ жүздерiнiң белгiлi өкiлдерi Қарақұм маңында бас қосып, жоңғарларға соққы берудiң мүмкiндiктерiн талқылады. Осы кеңестiң шешiмiне сай жоңғарларға қарсы бiрiккен халық жасағы құрылып, соның күшiмен жоңғар әскерi шығысқа қарай ығыстырылды. 1711 жылы жоңғарлар қазақ даласына тағы шабуыл жасағанда, қазақ батырлары тiзе қосып, жауға айтарлықтай тойтарыс бердi. Жоңғар қонтайшысы Себан Рабданның (Цэван-Рабдан) қазақ жерiне 1713 жылғы жорығы да сәтсiздiкпен аяқталды.",Қарақұмдағы қазақ жүздерінің бас қосуы қай жылы орын алды?,1710 жылы,14,23
"Осы мақсатпен 1710 жылы қазақ жүздерiнiң белгiлi өкiлдерi Қарақұм маңында бас қосып, жоңғарларға соққы берудiң мүмкiндiктерiн талқылады. Осы кеңестiң шешiмiне сай жоңғарларға қарсы бiрiккен халық жасағы құрылып, соның күшiмен жоңғар әскерi шығысқа қарай ығыстырылды. 1711 жылы жоңғарлар қазақ даласына тағы шабуыл жасағанда, қазақ батырлары тiзе қосып, жауға айтарлықтай тойтарыс бердi. Жоңғар қонтайшысы Себан Рабданның (Цэван-Рабдан) қазақ жерiне 1713 жылғы жорығы да сәтсiздiкпен аяқталды.",кеңестің шешімі арқылы жоңғар әскері қайда ығыстырылды?,шығысқа қарай,240,253
"Осы мақсатпен 1710 жылы қазақ жүздерiнiң белгiлi өкiлдерi Қарақұм маңында бас қосып, жоңғарларға соққы берудiң мүмкiндiктерiн талқылады. Осы кеңестiң шешiмiне сай жоңғарларға қарсы бiрiккен халық жасағы құрылып, соның күшiмен жоңғар әскерi шығысқа қарай ығыстырылды. 1711 жылы жоңғарлар қазақ даласына тағы шабуыл жасағанда, қазақ батырлары тiзе қосып, жауға айтарлықтай тойтарыс бердi. Жоңғар қонтайшысы Себан Рабданның (Цэван-Рабдан) қазақ жерiне 1713 жылғы жорығы да сәтсiздiкпен аяқталды.",Қай жылы жоңарлар қазақ даласына қайта шабуыл жасады?,1711 жылы,267,276
"Осы мақсатпен 1710 жылы қазақ жүздерiнiң белгiлi өкiлдерi Қарақұм маңында бас қосып, жоңғарларға соққы берудiң мүмкiндiктерiн талқылады. Осы кеңестiң шешiмiне сай жоңғарларға қарсы бiрiккен халық жасағы құрылып, соның күшiмен жоңғар әскерi шығысқа қарай ығыстырылды. 1711 жылы жоңғарлар қазақ даласына тағы шабуыл жасағанда, қазақ батырлары тiзе қосып, жауға айтарлықтай тойтарыс бердi. Жоңғар қонтайшысы Себан Рабданның (Цэван-Рабдан) қазақ жерiне 1713 жылғы жорығы да сәтсiздiкпен аяқталды.",1711 жылғы жоңар шапқыншылығы немен аяқталды?,"қазақ батырлары тiзе қосып, жауға айтарлықтай тойтарыс бердi",325,385
"Осы мақсатпен 1710 жылы қазақ жүздерiнiң белгiлi өкiлдерi Қарақұм маңында бас қосып, жоңғарларға соққы берудiң мүмкiндiктерiн талқылады. Осы кеңестiң шешiмiне сай жоңғарларға қарсы бiрiккен халық жасағы құрылып, соның күшiмен жоңғар әскерi шығысқа қарай ығыстырылды. 1711 жылы жоңғарлар қазақ даласына тағы шабуыл жасағанда, қазақ батырлары тiзе қосып, жауға айтарлықтай тойтарыс бердi. Жоңғар қонтайшысы Себан Рабданның (Цэван-Рабдан) қазақ жерiне 1713 жылғы жорығы да сәтсiздiкпен аяқталды.",Жоңғар қонтайшысы кім?,Себан Рабданның (Цэван-Рабдан),405,435
"Осы мақсатпен 1710 жылы қазақ жүздерiнiң белгiлi өкiлдерi Қарақұм маңында бас қосып, жоңғарларға соққы берудiң мүмкiндiктерiн талқылады. Осы кеңестiң шешiмiне сай жоңғарларға қарсы бiрiккен халық жасағы құрылып, соның күшiмен жоңғар әскерi шығысқа қарай ығыстырылды. 1711 жылы жоңғарлар қазақ даласына тағы шабуыл жасағанда, қазақ батырлары тiзе қосып, жауға айтарлықтай тойтарыс бердi. Жоңғар қонтайшысы Себан Рабданның (Цэван-Рабдан) қазақ жерiне 1713 жылғы жорығы да сәтсiздiкпен аяқталды.",Себан Рабдан қай жылы қазақ жеріне жорық жасады?,1713,449,453
"Осы мақсатпен 1710 жылы қазақ жүздерiнiң белгiлi өкiлдерi Қарақұм маңында бас қосып, жоңғарларға соққы берудiң мүмкiндiктерiн талқылады. Осы кеңестiң шешiмiне сай жоңғарларға қарсы бiрiккен халық жасағы құрылып, соның күшiмен жоңғар әскерi шығысқа қарай ығыстырылды. 1711 жылы жоңғарлар қазақ даласына тағы шабуыл жасағанда, қазақ батырлары тiзе қосып, жауға айтарлықтай тойтарыс бердi. Жоңғар қонтайшысы Себан Рабданның (Цэван-Рабдан) қазақ жерiне 1713 жылғы жорығы да сәтсiздiкпен аяқталды.",Себан Рабдан жоңар қонтайшысының 1713 жылғы жорығы немен аяқталды?,сәтсiздiкпен аяқталды,470,491
"Қазақ мемлекетiнiң ахуалын қиындатқан тек жоңғар елiнiң ұдайы шабуылдары ғана емес. Солтүстiк-батыстан башқұрттар, солтүстiктен Сiбiр казактары елдiң мазасын алса, оңтүстiкке iргелес орналасқан Қоқан, Хиуа мемлекеттерi де қазақтардың қиын жағдайын пайдаланып қалуға тырысты.",Қазақ мемлекетінің ақуалын пайдалануға жоңарлардан бөлек қандай мемлекеттер тырысты?,"Солтүстiк-батыстан башқұрттар, солтүстiктен Сiбiр казактары елдiң мазасын алса, оңтүстiкке iргелес орналасқан Қоқан, Хиуа мемлекеттерi",84,218
"Қазақ мемлекетiнiң ахуалын қиындатқан тек жоңғар елiнiң ұдайы шабуылдары ғана емес. Солтүстiк-батыстан башқұрттар, солтүстiктен Сiбiр казактары елдiң мазасын алса, оңтүстiкке iргелес орналасқан Қоқан, Хиуа мемлекеттерi де қазақтардың қиын жағдайын пайдаланып қалуға тырысты.",Башқұрттар қай бағыттан қазақтарға соққы берді?,Солтүстiк-батыстан,84,102
"Қазақ мемлекетiнiң ахуалын қиындатқан тек жоңғар елiнiң ұдайы шабуылдары ғана емес. Солтүстiк-батыстан башқұрттар, солтүстiктен Сiбiр казактары елдiң мазасын алса, оңтүстiкке iргелес орналасқан Қоқан, Хиуа мемлекеттерi де қазақтардың қиын жағдайын пайдаланып қалуға тырысты.",Сiбiр казактары қай бағыттан қазақтарға соққы берді?,солтүстiктен,115,127
"Қазақ мемлекетiнiң ахуалын қиындатқан тек жоңғар елiнiң ұдайы шабуылдары ғана емес. Солтүстiк-батыстан башқұрттар, солтүстiктен Сiбiр казактары елдiң мазасын алса, оңтүстiкке iргелес орналасқан Қоқан, Хиуа мемлекеттерi де қазақтардың қиын жағдайын пайдаланып қалуға тырысты.","Қоқан, Хиуа мемлекеттерi қай бағыттан қазақтарға соққы берді?",оңтүстiк,164,172
"Қазақ мемлекетiнiң ахуалын қиындатқан тек жоңғар елiнiң ұдайы шабуылдары ғана емес. Солтүстiк-батыстан башқұрттар, солтүстiктен Сiбiр казактары елдiң мазасын алса, оңтүстiкке iргелес орналасқан Қоқан, Хиуа мемлекеттерi де қазақтардың қиын жағдайын пайдаланып қалуға тырысты.",оңтүстiкке iргелес орналасқан қандай мемлекеттер?,"Қоқан, Хиуа",194,205
"Қазақ мемлекетiнiң ахуалын қиындатқан тек жоңғар елiнiң ұдайы шабуылдары ғана емес. Солтүстiк-батыстан башқұрттар, солтүстiктен Сiбiр казактары елдiң мазасын алса, оңтүстiкке iргелес орналасқан Қоқан, Хиуа мемлекеттерi де қазақтардың қиын жағдайын пайдаланып қалуға тырысты.",Солтүстiк-батыста қай мемлекет орналасты?,башқұрттар,103,113
"Қазақ мемлекетiнiң ахуалын қиындатқан тек жоңғар елiнiң ұдайы шабуылдары ғана емес. Солтүстiк-батыстан башқұрттар, солтүстiктен Сiбiр казактары елдiң мазасын алса, оңтүстiкке iргелес орналасқан Қоқан, Хиуа мемлекеттерi де қазақтардың қиын жағдайын пайдаланып қалуға тырысты.",солтүстiкте қай мемлекет орналасты?,Сiбiр казактары,128,143
1718 жылы Аякөз өзенi бойында Қаракерей Қабанбай мен Жауғашар (Шақантай) батырлардың басшылығымен жаудың қолын талқандаған жеңiс те қазақ елiнiң ауыр жағдайын жақсарта алмады. Қазақ хандығының тәуелсiздiгiне мейлiнше қауiп төндiрген басты жауы Жоңғария — әскерифеодалдық мемлекет едi.,Қай жылы Қаракерей Қабанбай мен Жауғашар батырлар жаулармен соғысты?,1718 жылы,0,9
1718 жылы Аякөз өзенi бойында Қаракерей Қабанбай мен Жауғашар (Шақантай) батырлардың басшылығымен жаудың қолын талқандаған жеңiс те қазақ елiнiң ауыр жағдайын жақсарта алмады. Қазақ хандығының тәуелсiздiгiне мейлiнше қауiп төндiрген басты жауы Жоңғария — әскерифеодалдық мемлекет едi.,Қай өзен бойында Қаракерей Қабанбай мен Жауғашар батырлар жаулармен соғысты,Аякөз өзенi,10,21
1718 жылы Аякөз өзенi бойында Қаракерей Қабанбай мен Жауғашар (Шақантай) батырлардың басшылығымен жаудың қолын талқандаған жеңiс те қазақ елiнiң ауыр жағдайын жақсарта алмады. Қазақ хандығының тәуелсiздiгiне мейлiнше қауiп төндiрген басты жауы Жоңғария — әскерифеодалдық мемлекет едi.,Қаракерей Қабанбай мен Жауғашар (Шақантай) батырлардың басшылығымен болған соғыстың нәтижесі қандай болды?,жеңiс,123,128
1718 жылы Аякөз өзенi бойында Қаракерей Қабанбай мен Жауғашар (Шақантай) батырлардың басшылығымен жаудың қолын талқандаған жеңiс те қазақ елiнiң ауыр жағдайын жақсарта алмады. Қазақ хандығының тәуелсiздiгiне мейлiнше қауiп төндiрген басты жауы Жоңғария — әскерифеодалдық мемлекет едi.,Қазақ хандығының тәуелсіздігіне қатты қауіп төндірген мемлекен қалай аталды?,Жоңғария,244,252
1718 жылы Аякөз өзенi бойында Қаракерей Қабанбай мен Жауғашар (Шақантай) батырлардың басшылығымен жаудың қолын талқандаған жеңiс те қазақ елiнiң ауыр жағдайын жақсарта алмады. Қазақ хандығының тәуелсiздiгiне мейлiнше қауiп төндiрген басты жауы Жоңғария — әскерифеодалдық мемлекет едi.,Жоңғария қандай мемлекет еді?,әскерифеодалдық,255,270
"Цин (Қытай) императоры Канси өлгеннен кейiн, 1723 жылы осы елмен қарым-қатынасын ретке келтiрген Жоңғария барлық күшқуатын қазақ елiне қарсы жұмсауға мүмкiндiк алды. Қазақ елiн талқандауды көксеген жоңғарлар өздерiнiң жоспарын тезiрек iске асыруға талпынды","Жоңғар мамлекеті Қытай императоры Цин мен келсім жасап, қандай мүмкіндікке ие болды?",Жоңғария барлық күшқуатын қазақ елiне қарсы жұмсауға мүмкiндiк алды,97,164
"Цин (Қытай) императоры Канси өлгеннен кейiн, 1723 жылы осы елмен қарым-қатынасын ретке келтiрген Жоңғария барлық күшқуатын қазақ елiне қарсы жұмсауға мүмкiндiк алды. Қазақ елiн талқандауды көксеген жоңғарлар өздерiнiң жоспарын тезiрек iске асыруға талпынды",Цин императорымен Жоңғарлардың келісімі қай жылы орын алды?,1723 жылы,45,54
"Цин (Қытай) императоры Канси өлгеннен кейiн, 1723 жылы осы елмен қарым-қатынасын ретке келтiрген Жоңғария барлық күшқуатын қазақ елiне қарсы жұмсауға мүмкiндiк алды. Қазақ елiн талқандауды көксеген жоңғарлар өздерiнiң жоспарын тезiрек iске асыруға талпынды",Жоғарлардың көздеген мақсаты не болды?,Қазақ елiн талқандау,166,186
"1723 жылы қазақ билеушiлерi өзара қырқысып жатқан кезде, жоңғардың қалың қолы қазақ жерiне тұтқиылдан баса көктеп кiрдi. Жетiсуды жапыра, Қаратауды басып өтiп, Талас алқабында көшiп жүрген қазақ ауылдарына ойран салды. Бұл “Ақтабан шұбырынды, Алқакөл сұламаның” басы едi.",Қай жылы жоңғарлар қазақ жеріне баса көктеп кірді?,1723 жылы,0,9
"1723 жылы қазақ билеушiлерi өзара қырқысып жатқан кезде, жоңғардың қалың қолы қазақ жерiне тұтқиылдан баса көктеп кiрдi. Жетiсуды жапыра, Қаратауды басып өтiп, Талас алқабында көшiп жүрген қазақ ауылдарына ойран салды. Бұл “Ақтабан шұбырынды, Алқакөл сұламаның” басы едi.",1723 жылы қазақ билеушілері не істеп жатқан еді?,өзара қырқысып жатқан,28,49
"1723 жылы қазақ билеушiлерi өзара қырқысып жатқан кезде, жоңғардың қалың қолы қазақ жерiне тұтқиылдан баса көктеп кiрдi. Жетiсуды жапыра, Қаратауды басып өтiп, Талас алқабында көшiп жүрген қазақ ауылдарына ойран салды. Бұл “Ақтабан шұбырынды, Алқакөл сұламаның” басы едi.",Жоңарлар қай ауылдарға баса көктеп кірді?,Талас алқабында көшiп жүрген қазақ ауылдарына ойран салды,160,217
"1723 жылы қазақ билеушiлерi өзара қырқысып жатқан кезде, жоңғардың қалың қолы қазақ жерiне тұтқиылдан баса көктеп кiрдi. Жетiсуды жапыра, Қаратауды басып өтiп, Талас алқабында көшiп жүрген қазақ ауылдарына ойран салды. Бұл “Ақтабан шұбырынды, Алқакөл сұламаның” басы едi.",Бұл қандай трагедияның бастамасы еді?,"“Ақтабан шұбырынды, Алқакөл сұламаның”",223,261
"Жау соққысына төтеп бере алмаған Ұлы жүздiң көпшiлiк рулары мен Орта жүздiң бiрқатар рулары Шыршық өзенiнiң Сырдарияға құяр сағасынан өтiп, Ходжентке қарай беттедi. Орта жүздiң басқа рулары Самарқанға ойысты. Кiшi жүз Ырғыз, Торғай, Жайық, Ор өзендерiне қарай ығысты. Шапқыншылармен арпалысқан қазақтардың бiр бөлiгi Тобыл губерниясының шекарасына жақындады.",Жау соққысына кімдер төтеп бере алмады?,Ұлы жүздiң көпшiлiк рулары мен Орта жүздiң бiрқатар рулары,33,91
"Жау соққысына төтеп бере алмаған Ұлы жүздiң көпшiлiк рулары мен Орта жүздiң бiрқатар рулары Шыршық өзенiнiң Сырдарияға құяр сағасынан өтiп, Ходжентке қарай беттедi. Орта жүздiң басқа рулары Самарқанға ойысты. Кiшi жүз Ырғыз, Торғай, Жайық, Ор өзендерiне қарай ығысты. Шапқыншылармен арпалысқан қазақтардың бiр бөлiгi Тобыл губерниясының шекарасына жақындады.",жау соққысына төтеп бере алмаған Ұлы жүздiң көпшiлiк рулары мен Орта жүздiң бiрқатар рулары қайда бағыт алды?,Ходжентке қарай беттедi,140,163
"Жау соққысына төтеп бере алмаған Ұлы жүздiң көпшiлiк рулары мен Орта жүздiң бiрқатар рулары Шыршық өзенiнiң Сырдарияға құяр сағасынан өтiп, Ходжентке қарай беттедi. Орта жүздiң басқа рулары Самарқанға ойысты. Кiшi жүз Ырғыз, Торғай, Жайық, Ор өзендерiне қарай ығысты. Шапқыншылармен арпалысқан қазақтардың бiр бөлiгi Тобыл губерниясының шекарасына жақындады.",Орта жүздiң басқа рулары қайда бағыт алды?,Самарқанға ойысты,190,207
"Жау соққысына төтеп бере алмаған Ұлы жүздiң көпшiлiк рулары мен Орта жүздiң бiрқатар рулары Шыршық өзенiнiң Сырдарияға құяр сағасынан өтiп, Ходжентке қарай беттедi. Орта жүздiң басқа рулары Самарқанға ойысты. Кiшi жүз Ырғыз, Торғай, Жайық, Ор өзендерiне қарай ығысты. Шапқыншылармен арпалысқан қазақтардың бiр бөлiгi Тобыл губерниясының шекарасына жақындады.",Кiшi жүз қайда бағыт алды?,"Ырғыз, Торғай, Жайық, Ор өзендерiне қарай ығысты",218,266
"Жау соққысына төтеп бере алмаған Ұлы жүздiң көпшiлiк рулары мен Орта жүздiң бiрқатар рулары Шыршық өзенiнiң Сырдарияға құяр сағасынан өтiп, Ходжентке қарай беттедi. Орта жүздiң басқа рулары Самарқанға ойысты. Кiшi жүз Ырғыз, Торғай, Жайық, Ор өзендерiне қарай ығысты. Шапқыншылармен арпалысқан қазақтардың бiр бөлiгi Тобыл губерниясының шекарасына жақындады.",Жаулармен арпалысқан бір бөлік қазақтар қай шекараға жақындады?,Тобыл губерниясының шекарасына жақындады,317,357
"Жоңғарлардың күтпеген жерден бiрнеше бағытта ұйымдастырған шапқыншылығының зардабы, бейқам жатқан қазақ ауылдары үшiн тiптi ауыр болды. Мал-мүлкiн, тiгулi үйiн, асулы қазанын тастап, бас сауғалауға мәжбүр болған қайғылы жағдай қазақ жерiнде моңғол шапқыншылығынан берi қайталанбаған едi. Ел басынан кешкен осынау қайғықасiрет әйгiлi “Елiм-ай” әнiнiң мұңлы-зарлы шумақтарынан анық байқалады",Ел басына түскен осынау қасыреттен шыққан әуен қалай аталды?,“Елiм-ай”,333,342
